image_id,image_path,manual_RBC,manual_WBC,manual_Platelets,system_RBC,system_WBC,system_Platelets
BloodImage_00007,D:\pbl-4-project-root\annotations\images\BloodImage_00007.jpeg,19,3,0,11,1,0
BloodImage_00011,D:\pbl-4-project-root\annotations\images\BloodImage_00011.jpeg,20,1,0,14,1,0
BloodImage_00015,D:\pbl-4-project-root\annotations\images\BloodImage_00015.jpeg,15,1,0,16,1,0
BloodImage_00016,D:\pbl-4-project-root\annotations\images\BloodImage_00016.jpeg,21,1,0,15,1,0
BloodImage_00018,D:\pbl-4-project-root\annotations\images\BloodImage_00018.jpeg,29,1,0,16,1,0
BloodImage_00019,D:\pbl-4-project-root\annotations\images\BloodImage_00019.jpeg,17,5,0,13,1,0
BloodImage_00021,D:\pbl-4-project-root\annotations\images\BloodImage_00021.jpeg,20,4,0,13,1,0
BloodImage_00031,D:\pbl-4-project-root\annotations\images\BloodImage_00031.jpeg,19,4,0,12,2,0
BloodImage_00033,D:\pbl-4-project-root\annotations\images\BloodImage_00033.jpeg,26,1,12,10,1,0
BloodImage_00041,D:\pbl-4-project-root\annotations\images\BloodImage_00041.jpeg,24,2,1,15,1,0
BloodImage_00057,D:\pbl-4-project-root\annotations\images\BloodImage_00057.jpeg,23,1,0,9,1,0
BloodImage_00058,D:\pbl-4-project-root\annotations\images\BloodImage_00058.jpeg,22,1,10,10,1,0
BloodImage_00062,D:\pbl-4-project-root\annotations\images\BloodImage_00062.jpeg,26,1,7,11,1,0
BloodImage_00063,D:\pbl-4-project-root\annotations\images\BloodImage_00063.jpeg,27,2,16,10,1,0
BloodImage_00065,D:\pbl-4-project-root\annotations\images\BloodImage_00065.jpeg,16,2,12,7,2,0
BloodImage_00067,D:\pbl-4-project-root\annotations\images\BloodImage_00067.jpeg,28,1,13,15,1,0
BloodImage_00068,D:\pbl-4-project-root\annotations\images\BloodImage_00068.jpeg,22,3,5,10,1,0
BloodImage_00074,D:\pbl-4-project-root\annotations\images\BloodImage_00074.jpeg,29,1,16,16,1,0
BloodImage_00075,D:\pbl-4-project-root\annotations\images\BloodImage_00075.jpeg,25,2,5,12,1,0
BloodImage_00077,D:\pbl-4-project-root\annotations\images\BloodImage_00077.jpeg,20,1,11,9,1,0
BloodImage_00088,D:\pbl-4-project-root\annotations\images\BloodImage_00088.jpeg,30,1,8,11,1,0
BloodImage_00093,D:\pbl-4-project-root\annotations\images\BloodImage_00093.jpeg,22,1,16,13,1,0
BloodImage_00098,D:\pbl-4-project-root\annotations\images\BloodImage_00098.jpeg,32,1,2,15,1,0
